Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
Volkswagen,Caddy Maxi,1968,272,180,12,25000,D,7.0,250
Volkswagen,Volkswagen Lupo 3L,1199,61,165,14.5,20000,D,4.0,140
Volkswagen,Polo Beats,999,95,187,9.5,22000,P,5.0,175
Volkswagen,Passat Hybrid,1395,215,210,7.4,32000,H,5.0,330
Volkswagen,Golf TCR,1984,290,250,5.6,40000,P,5.0,370
Volkswagen,Tiguan R-Line,1984,272,250,4.9,45000,P,5.0,420
Volkswagen,Sharan Business,1968,272,200,8.3,35000,D,7.0,350
Volkswagen,ID. Buzz Cargo Pro,2500,204,145,10.2,55000,E,2.0,310
Volkswagen,Arteon 280 TSI,1984,280,250,5.6,50000,P,5.0,350
Volkswagen,Jetta GLI 35th,1984,228,250,6.5,31000,P,5.0,350
Volkswagen,Beetle Final Edition,1984,174,205,7,25000,P,4.0,250
Volkswagen,Golf Variant TDI,1968,272,220,7.8,30000,D,5.0,350
Volkswagen,Golf 4MOTION,1968,272,250,4.9,40000,P,5.0,400
Volkswagen,Jetta SportWagen,2500,272,200,8.5,27000,P,5.0,250
Volkswagen,Polo GTI Plus,1984,207,237,6.7,30000,P,5.0,320
Volkswagen,Touareg V6,2967,272,235,7.5,60000,P,5.0,450
Volkswagen,Tiguan eHybrid,2500,245,200,7.5,42000,H,5.0,400
Volkswagen,Up! e-up!,2500,83,130,11.9,23000,E,4.0,210
Volkswagen,Amarok V8,3996,272,210,7.4,70000,D,5.0,580
Volkswagen,Golf R Cabriolet,1984,265,250,5.9,45000,P,4.0,380
Volkswagen,Passat Alltrack TDI,1968,190,220,8,40000,D,5.0,400
Volkswagen,ID. Buzz Cargo EV,2500,204,145,10.2,55000,E,2.0,310
Nissan,Versa,1598,272,180,10.4,16700,P,5.0,154
Nissan,Micra,999,272,175,10.8,15500,P,5.0,160
Nissan,Patrol Platinum,5552,272,210,7.3,77000,P,7.0,560
Nissan,Qashqai,1332,272,195,8.9,26000,P,5.0,260
Nissan,Murano,3498,272,210,7.5,39000,P,5.0,325
Nissan,Maxima Platinum,3498,272,220,6.2,45000,P,5.0,353
Nissan,Armada,5552,272,210,6.5,51000,P,8.0,560
Nissan,Kicks,1598,272,180,10.7,20000,P,5.0,154
Nissan,X-Trail,1498,272,200,8,29000,H,5.0,305
Nissan,Z (Fairlady Z),2997,272,250,4.5,40000,P,2.0,475
Nissan,Almera,999,272,185,10.7,14500,P,5.0,160
Nissan,Sylphy,1798,272,190,9.6,18000,P,5.0,174
Nissan,Note,1198,272,170,11.5,16000,H,5.0,150
Nissan,Sunny,1598,272,180,11,15000,P,5.0,156
Nissan,Cube,1798,272,175,10.6,14500,P,5.0,171
Nissan,Juke,999,272,180,10.4,25000,P,5.0,180
Nissan,Terrano,1461,272,168,13.5,15500,D,5.0,248
Nissan,Magnite,999,272,160,13,12000,P,5.0,160
Nissan,Xterra,3954,272,200,7.8,35000,P,7.0,381
Nissan,Patrol,5552,272,210,7.3,77000,P,7.0,560
Nissan,GT-R NISMO,3799,272,330,2.9,220000,P,2.0,652
Nissan,370Z Roadster,3696,272,250,5.5,41820,P,2.0,366
Nissan,Ariya,2500,272,200,5.1,58950,E,5.0,600
Nissan,Patrol Royale,5552,272,210,6.6,85000,P,7.0,560
Nissan,Infiniti QX80*,5552,272,210,6.5,70600,P,7.0,560
Nissan,Tiida,1598,272,190,10.1,14500,P,5.0,154
Nissan,Pulsar,1197,272,190,10.7,19000,P,5.0,190
Nissan,Latio,1498,272,175,11.5,13000,P,5.0,139
Nissan,Bluebird Sylphy,1997,272,185,10.5,18500,P,5.0,191
Nissan,March,1198,272,170,13.7,12000,P,5.0,106
Nissan,Rogue Sport,1997,272,190,9.8,24960,P,5.0,199
Nissan,X-Trail Hybrid,1997,272,180,9.4,28500,H,5.0,207
Nissan,Pathfinder Rock Creek,3498,272,190,7.4,42820,P,7.0,351
Nissan,Armada Platinum,5552,272,210,6.5,65300,P,8.0,560
Nissan,Terrano XL,1598,272,165,12.5,14000,P,5.0,145
Nissan,GT-R50 by Italdesign,3799,272,315,2.5,1100000,P,2.0,780
Nissan,370Z NISMO,3696,272,250,5.2,45790,P,2.0,374
Nissan,Ariya E-4ORCE,2500,272,200,5.1,60000,E,5.0,600
Nissan,Patrol NISMO,5552,272,210,6.5,105000,P,7.0,560
Nissan,Infiniti Q60*,2997,272,250,5,41750,P,4.0,400
Nissan,Primera,1998,272,200,9.6,20000,P,5.0,190
Nissan,Skyline,2997,272,250,5,50000,P,5.0,475
Nissan,Cedric,1998,272,190,10.5,22000,P,5.0,190
Nissan,Gloria,2498,272,210,8.6,30000,P,5.0,250
Nissan,Stanza,1796,272,175,11,18500,P,5.0,170
Nissan,Patrol Super Safari,4750,272,190,8.2,55000,P,7.0,451
Nissan,Pathfinder Hybrid,2488,272,190,7.7,42500,H,7.0,329
Nissan,X-Terra Pro-4X,2498,272,175,10.8,40000,P,7.0,240
Nissan,Rogue Platinum,1497,272,180,8.2,38000,P,5.0,300
Nissan,Qashqai Tekna,1332,272,190,9.2,36000,H,5.0,270
Nissan,GT-R V-Spec,3799,272,330,2.8,175000,P,2.0,652
Nissan,Skyline NISMO,2997,272,270,4.7,55000,P,5.0,475
Nissan,Ariya Lounge Edition,2500,272,200,5.1,63000,E,5.0,600
Nissan,Patrol Titanium,5552,272,210,6.5,98000,P,7.0,560
Nissan,Infiniti FX50*,5026,272,250,5.6,61750,P,5.0,500
Nissan,Avenir,1998,272,180,9.8,20000,P,5.0,186
Nissan,Wingroad,1798,272,175,10.8,18000,P,5.0,168
Nissan,Presea,1838,272,170,11.5,17500,P,5.0,161
Nissan,Leopard,2960,272,200,8.4,32000,P,5.0,265
Nissan,Sunny NISMO Edition,1598,272,200,7.5,24000,P,5.0,240
Nissan,Paladin,2438,272,180,10.6,20000,P,5.0,217
Nissan,Hardbody SUV,2498,272,175,11,18500,P,5.0,225
Nissan,Patrol Desert Edition,5552,272,210,6.5,95000,P,7.0,560
Nissan,Pathfinder Armada,5552,272,200,6.5,60000,P,7.0,560
Nissan,Rogue Midnight Edition,1497,272,180,8.2,39000,P,5.0,300
Nissan,GT-R Black Edition,3799,272,330,2.8,ssS185000.0,P,2.0,652
Nissan,Fairlady Z Heritage,2997,272,250,4.2,48000,P,2.0,475
Nissan,Skyline GT-R R34,2568,272,250,5.6,70000,P,4.0,392
Nissan,Ariya Premiere,2500,272,200,5.1,67000,E,5.0,600
Nissan,Infiniti QX55*,1997,272,230,6.5,50000,P,5.0,380
Nissan,NV350 Caravan,2488,272,155,12.5,28000,D,8.0,356
Nissan,Navara,2298,272,180,10.2,32000,D,5.0,450
Nissan,Titan XD,5552,272,195,6.9,55000,P,6.0,560
Nissan,Evalia,1461,272,140,15,25000,D,7.0,200
Nissan,Cabstar,2488,272,145,14.8,27000,D,3.0,350
Nissan,Cherry,1397,272,145,14,14000,P,5.0,110
Nissan,Laurel,2825,272,160,12.5,22000,D,5.0,184
Nissan,Silvia,1998,272,235,5.9,45000,P,4.0,275
Nissan,NX Coupe,1998,272,200,9,22000,P,4.0,180
Nissan,AD Wagon,1498,272,165,12.3,16000,P,5.0,150
Nissan,Patrol Super Safari Y61,4750,272,190,8.2,58000,P,7.0,451
Nissan,Pathfinder Rock Creek Edition,3498,272,195,7.2,44000,P,7.0,351
Nissan,Terrano II,2664,272,160,12.9,28000,D,5.0,278
Nissan,Murano CrossCabriolet,3498,272,195,7.6,47000,P,4.0,325
Nissan,X-Trail Tekna,1497,272,190,8,43000,H,5.0,305
Nissan,GT-R LM NISMO,3000,272,320,3,600000,H,2.0,650
Nissan,Skyline 400R,2997,272,250,4.5,70000,P,5.0,475
Nissan,Infiniti G37*,3696,272,250,5.5,42000,P,5.0,365
Nissan,Patrol Black Edition,5552,272,200,6.5,85000,P,7.0,560
Nissan,Ariya Empower+,2500,272,200,5.1,68000,E,5.0,600
Nissan,Datsun 510 (Classic),1595,272,175,10.2,25000,P,4.0,135
Nissan,200SX,1998,272,240,7.2,30000,P,4.0,265
Nissan,300ZX,2960,272,250,5.9,50000,P,4.0,384
Nissan,R390 GT1 Road Car,3495,272,354,3.3,1000000,P,2.0,637
Nissan,Figaro,987,272,170,12.8,20000,P,4.0,103
Nissan,Hardbody Truck,2389,272,160,10.6,25000,P,5.0,206
Nissan,Atlas,2999,272,130,18,35000,D,3.0,300
Nissan,Clipper,659,272,110,18.5,10000,P,4.0,62
Nissan,NV200,1998,272,140,14,28000,P,7.0,188
Nissan,Violet,1770,272,155,13.8,18000,P,5.0,130
Nissan,Bluebird Z,1998,272,190,11,23000,P,5.0,180
Nissan,Stanza Wagon,2389,272,160,12,22000,P,7.0,205
Nissan,180SX,1998,272,240,6.8,35000,P,4.0,275
Nissan,Sunny California,1597,272,170,11,18000,P,5.0,140
Nissan,Patrol Warrior,5552,272,205,6.3,95000,P,7.0,580
Nissan,Pathfinder Armada Platinum,5552,272,190,6.8,70000,P,7.0,560
Nissan,Rogue Sport SL,1998,272,190,9,32000,P,5.0,195
Nissan,X-Trail Platinum Edition,1497,272,190,8,46000,H,5.0,305
Nissan,Qashqai e-Power,1497,272,200,7.5,40000,H,5.0,330
Nissan,GT-R Egoist,3799,272,315,2.8,220000,P,2.0,637
Nissan,Infiniti M45*,4494,272,250,5.8,50000,P,5.0,451
Nissan,Skyline 50th Anniversary,2997,272,250,4.5,75000,P,5.0,475
Nissan,Ariya Dual Motor AWD,2500,272,200,5.1,70000,E,5.0,600
Nissan,Patrol Legend Edition,5552,272,205,6.3,95000,P,7.0,580
Nissan,Datsun 240Z (Classic),2393,272,210,8,45000,P,2.0,198
Nissan,100NX,1597,272,185,9.6,18000,P,4.0,135
Nissan,Cedric Special Edition,2960,272,225,8.5,60000,P,5.0,330
Nissan,300ZX Turbo,2960,272,250,5.9,55000,P,4.0,384
Nissan,Silvia S15 Spec-R,1998,272,240,5.6,35000,P,4.0,300
Nissan,NV400,2298,272,150,15,40000,D,3.0,360
Nissan,Titan Warrior,5552,272,180,7,55000,P,5.0,560
Nissan,Caravan Coach,2498,272,140,14,30000,D,7.0,260
Nissan,Serena e-Power,1198,272,160,12,35000,H,7.0,320
Nissan,Elgrand,3498,272,200,8.5,50000,P,7.0,344
Nissan,Datsun 510,1595,272,175,10.2,25000,P,4.0,135
Nissan,Prairie,1998,272,175,11,18000,P,5.0,170
Nissan,Pulsar GTI-R,1998,272,225,6,30000,P,5.0,280
Nissan,Almera Tino,1769,272,180,12.5,15000,P,5.0,160
Nissan,Lucino,1597,272,185,10.5,12000,P,5.0,150
Nissan,Rasheen,1497,272,165,13,10000,P,5.0,135
Nissan,Mistral,2663,272,160,12.5,25000,D,7.0,260
Nissan,Patrol Y60,4169,272,160,12,45000,D,7.0,330
Nissan,X-Trail GT,1998,272,215,6.4,38000,P,5.0,310
Nissan,Terrano Regulus,3275,272,175,10,28000,P,5.0,290
Nissan,President,4494,272,210,7.5,70000,P,5.0,400
Nissan,Cima,4130,272,210,8,60000,P,5.0,390
Nissan,Leopard J. Ferie,2960,272,215,6.5,45000,P,5.0,340
Nissan,Gloria Gran Turismo,2960,272,220,6.5,50000,P,5.0,340
Nissan,Infiniti Q45*,4494,272,240,6.2,50000,P,5.0,450
Nissan,Datsun 240Z,2393,272,210,8,45000,P,2.0,198
Nissan,280ZX,2753,272,205,9.5,35000,P,2.0,210
Nissan,Silvia S13,1809,272,215,6.8,20000,P,4.0,230
Nissan,200SX,1998,272,225,7,25000,P,4.0,260
Nissan,NX Coupe,1839,272,200,9,18000,P,4.0,180
Nissan,NV2500,3954,272,160,10,36000,P,2.0,385
Nissan,NV3500,5552,272,170,9,42000,P,2.0,525
Nissan,NT400 Cabstar,2953,272,140,15,35000,D,3.0,350
Porsche,Panamera,2894,272,270,5.6,88000,P,4.0,450
Porsche,Panamera 4,2894,272,270,5.4,92000,P,4.0,450
Porsche,Panamera 4S,2894,272,289,4.4,105000,P,4.0,550
Porsche,Panamera Turbo S,3996,272,315,3.1,180000,P,4.0,820
Porsche,Panamera GTS,3996,272,300,3.9,130000,P,4.0,620
Porsche,Panamera Platinum Edition,2894,272,270,5.4,102000,P,4.0,450
Porsche,Panamera E-Hybrid,2500,272,280,4.4,115000,H,4.0,700
Porsche,Panamera 4 E-Hybrid Sport Turismo,2500,272,280,4.4,120000,H,4.0,700
Porsche,Panamera Turbo S E-Hybrid,2500,272,315,3.2,190000,H,4.0,870
Porsche,Panamera 4 Executive,2894,272,270,5.6,95000,P,4.0,450
Porsche,Cayenne,2995,272,245,5.9,80000,P,5.0,450
Porsche,Cayenne Coupe,2995,272,245,6,85000,P,5.0,450
Porsche,Cayenne S,2894,272,265,5,95000,P,5.0,550
Porsche,Cayenne Turbo,3996,272,286,4,130000,P,5.0,770
Porsche,Cayenne GTS,3996,272,270,4.5,110000,P,5.0,620
Porsche,Cayenne Turbo S E-Hybrid,2500,272,295,3.6,170000,H,5.0,900
Porsche,Macan,1984,272,232,6.2,60000,P,5.0,400
Porsche,Macan S,2894,272,259,4.8,75000,P,5.0,520
Porsche,Macan GTS,2894,272,272,4.5,85000,P,5.0,550
Porsche,Macan T,1984,272,232,6.2,65000,P,5.0,400
Porsche,911 Carrera,2981,272,293,4.2,110000,P,4.0,450
Porsche,911 Carrera S,2981,443,308,3.5,131300,P,4.0,528
Porsche,911 Carrera 4,2981,379,293,4.2,106500,P,4.0,450
Porsche,911 Carrera 4S,2981,443,306,3.4,113300,P,4.0,528
Porsche,911 Targa 4,2981,379,289,4.4,121300,P,4.0,450
Porsche,911 Turbo,3745,572,320,2.7,197200,P,4.0,750
Porsche,911 Turbo S,3745,640,330,2.6,230400,P,4.0,800
Porsche,911 GT3,3996,502,318,3.4,161100,P,2.0,469
Porsche,911 GT3 RS,3996,518,296,3.2,241300,P,2.0,465
Porsche,911 Dakar,2981,473,240,3.4,222000,P,2.0,570
Porsche,Taycan,2500,402,230,5.4,86700,E,4.0,344
Porsche,Taycan 4S,2500,522,250,4,103800,E,4.0,640
Porsche,Taycan Turbo,2500,670,260,3.2,150900,E,4.0,850
Porsche,Taycan Turbo S,2500,750,260,2.8,185000,E,4.0,1050
Porsche,Taycan GTS,2500,590,250,3.5,132750,E,4.0,850
Porsche,Taycan Cross Turismo,2500,469,220,4.8,97700,E,5.0,500
Porsche,Taycan Sport Turismo,2500,509,240,4.1,104000,E,5.0,650
Porsche,718 Cayman,1988,300,275,4.9,63400,P,2.0,380
Porsche,718 Cayman S,2497,350,285,4.4,75400,P,2.0,420
Porsche,718 Cayman GT4,3995,414,302,4.2,100200,P,2.0,420
Porsche,718 Cayman GT4 RS,3996,493,315,3.2,141700,P,2.0,450
Porsche,718 Boxster,1988,300,275,4.9,65500,P,2.0,380
Porsche,718 Boxster T,1988,300,275,4.7,69600,P,2.0,380
Porsche,718 Boxster GTS,3995,394,293,4.3,90300,P,2.0,430
Porsche,718 Spyder,3995,414,301,4.1,98300,P,2.0,420
Porsche,Panamera Base,2894,325,265,5.6,92300,P,4.0,450
Porsche,Panamera 4 E-Hybrid,2894,462,280,4.4,113300,H,4.0,700
Porsche,Panamera 4 Sport Turismo,2894,325,265,5.5,101400,P,4.0,450
Porsche,Panamera Turbo S E-Hybrid Sport Turismo,3996,690,315,3.2,200200,H,4.0,870
Porsche,Panamera 4S E-Hybrid Executive,2894,560,295,3.7,128900,H,4.0,750
Porsche,Panamera Platinum Edition,2894,325,265,5.6,98300,P,4.0,450
Porsche,Panamera GTS Sport Turismo,3996,473,300,3.9,136900,P,4.0,620
Porsche,Panamera Turbo Executive,3996,550,306,3.8,175200,P,4.0,770
Porsche,Panamera Turbo S Exclusive Series,3996,570,310,3.8,290000,P,4.0,800
Porsche,Panamera 4S,2894,443,289,4.1,105000,P,4.0,550
Porsche,Macan Base,1984,265,232,6.4,58000,P,5.0,400
Porsche,Macan T,1984,265,233,6.2,63000,P,5.0,400
Porsche,Macan S,2894,375,259,4.6,70400,P,5.0,520
Porsche,Macan GTS,2894,434,272,4.3,82900,P,5.0,550
Porsche,Macan EV,2500,603,240,4,85000,E,5.0,750
Porsche,Cayenne Base,2995,335,245,5.9,72200,P,5.0,450
Porsche,Cayenne E-Hybrid,2995,455,253,4.8,91000,H,5.0,700
Porsche,Cayenne S Coupe,2894,434,263,4.7,94300,P,4.0,550
Porsche,Cayenne Turbo GT,3996,631,300,3.3,182150,P,4.0,850
Porsche,Cayenne Platinum Edition,2995,335,245,5.8,79000,P,5.0,450
Porsche,Cayenne Turbo S E-Hybrid Coupe,3996,670,295,3.6,167800,H,4.0,900
Porsche,Cayenne GTS Coupe,3996,453,270,4.5,111200,P,4.0,620
Porsche,Cayenne Diesel (Regional Markets),2967,262,221,7.3,69000,D,5.0,580
Porsche,Cayenne S Hybrid,2995,380,242,6.5,85500,H,5.0,580
Porsche,Cayenne Coupe Turbo E-Hybrid,3996,728,295,3.6,182900,H,4.0,950
Porsche,Taycan Base,2500,321,230,5.4,86700,E,4.0,345
Cadillac,CT4,2000,237,250,6,34395,P,5.0,350
Cadillac,CT4-V,2700,325,260,4.9,46595,P,5.0,500
Cadillac,CT5,2000,237,240,6.6,38195,P,5.0,350
Cadillac,CT5-V,3000,360,250,4.6,50995,P,5.0,550
Porsche,Taycan Cross Turismo 4,2500,375,240,5.1,94800,E,4.0,500
Porsche,Taycan Cross Turismo GTS,2500,590,250,3.8,139400,E,4.0,620
Porsche,Taycan Sport Turismo Base,2500,375,230,5.4,90500,E,4.0,500
Porsche,Taycan Sport Turismo GTS,2500,590,250,3.7,136700,E,4.0,620
Porsche,Taycan Turbo S Cross Turismo,2500,750,260,2.9,190000,E,4.0,1050
Porsche,911 Carrera Base,2981,379,293,4.2,106100,P,4.0,450
Porsche,911 Carrera S Cabriolet,2981,443,304,3.9,129900,P,4.0,530
Porsche,911 Carrera 4,2981,379,293,4.4,113300,P,4.0,450
Porsche,911 Carrera 4 GTS,2981,473,311,3.3,137000,P,4.0,570
Porsche,911 Targa 4 GTS,2981,473,307,3.5,157300,P,4.0,570
Porsche,911 Turbo Cabriolet,3745,572,320,2.9,184100,P,4.0,750
Porsche,911 Turbo S Coupe,3745,640,330,2.7,207000,P,4.0,800
Porsche,911 GT3 Touring,3996,502,318,3.9,170000,P,2.0,470
Porsche,911 GT3 RS Clubsport,3996,525,296,3.2,223800,P,2.0,465
Porsche,911 Dakar Limited Edition,2981,473,240,3.4,222000,P,4.0,570
Porsche,911 Carrera GTS Lightweight,2981,473,311,3.2,145300,P,4.0,570
Porsche,911 Targa 4 Lightweight,2981,379,289,4.3,135500,P,4.0,450
Porsche,911 Turbo Exclusive Series,3745,607,330,2.9,258000,P,4.0,750
Porsche,911 GT2 RS,3745,700,340,2.8,293200,P,2.0,750
Porsche,911 GT3 Cup,3996,510,290,3.4,245000,P,1.0,470
Porsche,911 GT4 RS,3996,500,315,3.4,222000,P,2.0,450
Porsche,911 RSR (Motorsport Edition),4194,515,296,3.1,750000,P,1.0,480
Porsche,911 Sport Turismo,2981,379,293,4.4,116000,P,4.0,450
Porsche,911 Turbo Cabriolet Lightweight,3745,572,318,3,191300,P,4.0,750
Porsche,911 Dakar Sport,2981,473,240,3.5,233000,P,4.0,570
Tata Motors,Tiago,1199,86,170,13,8200,P,5.0,113
Tata Motors,Tiago EV,2500,74,120,5.7,11000,E,5.0,114
Tata Motors,Altroz,2500,272,170,12,10400,P,5.0,373
Tata Motors,Altroz DCA,1199,86,170,12.5,11300,P,5.0,113
Tata Motors,Altroz iTurbo,1199,110,180,10,12000,P,5.0,140
Tata Motors,Altroz CNG,1199,86,165,12,11800,P,5.0,113
Tata Motors,Tiago NRG,1199,86,170,13.5,9200,P,5.0,113
Tata Motors,Nano GenX,624,37,105,29,4000,P,4.0,51
Tata Motors,Indica eV2,1396,70,155,16,6200,D,5.0,140
Tata Motors,Indica V2 Xeta,1193,65,140,16,5000,P,5.0,100
Tata Motors,Tigor,1199,86,170,13,9400,P,5.0,113
Tata Motors,Tigor EV,2500,74,120,5.7,14500,E,5.0,114
Tata Motors,Zest,2500,272,165,15,8700,P,5.0,373
Tata Motors,Indigo eCS,1396,70,155,16.5,6500,D,5.0,140
Cadillac,Escalade,6200,420,210,6.8,79295,P,7.0,624
Tata Motors,Indigo Marina,1396,272,150,17,8300,P,5.0,373
Tata Motors,Manza,2500,272,160,14,9000,P,5.0,373
Tata Motors,Indigo LX,1396,70,150,17,7000,D,5.0,140
Tata Motors,Indigo GLX,1396,85,160,15,7200,P,5.0,115
Cadillac,Escalade ESV,6200,420,205,6.9,82295,P,7.0,624
Tata Motors,Nexon,2500,272,180,10,14000,P,5.0,373
Tata Motors,Nexon EV Max,2500,143,140,9,25000,E,5.0,250
Tata Motors,Harrier,1956,168,180,11,23000,D,5.0,350
Tata Motors,Safari,1956,168,180,11,25500,D,7.0,350
Tata Motors,Punch,1199,86,160,16,10500,P,5.0,113
Tata Motors,Hexa,2179,154,180,12,20000,D,7.0,400
Tata Motors,Aria,2179,138,162,13,19000,D,7.0,320
Tata Motors,Sumo Gold,2956,85,125,17.6,15000,D,7.0,250
Tata Motors,Sumo Grande,2179,118,140,15,16500,D,7.0,250
Tata Motors,Nexon EV Prime,2500,129,120,9.4,22000,E,5.0,245
Tata Motors,Tiago EV,2500,74,120,5.7,11000,E,5.0,114
Tesla,Model S,2500,670,250,3.1,88490,E,5.0,967
Tesla,Model S Plaid,2500,1020,322,2.1,108490,E,5.0,1400
Tesla,Model 3,2500,283,225,5.8,40240,E,5.0,420
Tesla,Model 3 Performance,2500,450,261,3.1,53240,E,5.0,660
Tesla,Model X,2500,670,250,3.8,98490,E,7.0,967
Tesla,Model X Plaid,2500,1020,262,2.6,113490,E,6.0,1400
Tesla,Model Y,2500,346,217,5,47490,E,5.0,498
Tesla,Model Y Long Range,2500,384,217,4.8,50490,E,5.0,559
Tesla,Cybertruck,2500,800,209,2.9,69900,E,6.0,1355
Tesla,Roadster 2,2500,1288,402,1.9,200000,E,4.0,10000
Jeep,Wrangler,3600,285,180,6.8,35195,P,4.0,353
Jeep,Wrangler Rubicon,2000,270,180,7.1,42100,P,4.0,400
Jeep,Grand Cherokee,3600,293,209,7,41530,P,5.0,352
Jeep,Grand Cherokee L,3600,293,209,7.2,43530,P,7.0,352
Jeep,Cherokee,2400,180,195,8.5,37695,P,5.0,230
Jeep,Compass,2000,200,200,7.8,31590,P,5.0,320
Jeep,Renegade,1300,177,200,8.7,28345,P,5.0,285
Jeep,Gladiator,3600,285,177,8.1,38775,P,5.0,353
Jeep,Wagoneer,5700,392,190,7.4,63595,P,8.0,548
Jeep,Grand Wagoneer,6400,471,190,6,91495,P,8.0,617
Jeep,Grand Cherokee 4xe,2500,375,210,6,59865,H,5.0,637
Jeep,Wrangler 4xe,2500,375,180,6.4,50695,H,5.0,637
Jeep,Compass 4xe,2500,240,200,7.3,46500,H,5.0,270
Jeep,Renegade 4xe,2500,240,200,7.5,44500,H,5.0,270
Mazda,Mazda2,1500,108,180,10.2,47000,P,5.0,142
Jeep,Wagoneer S (Electric),2500,600,177,4.5,80000,E,5.0,850
Jeep,Gladiator Mojave Edition,3600,285,177,8.6,51570,P,5.0,353
Jeep,Grand Cherokee Summit Reserve,5700,357,190,7.3,66575,P,5.0,529
Jeep,Jeep Cherokee X Edition,3200,271,195,7.6,41295,P,5.0,324
Jeep,Wrangler 392,6400,470,160,4.5,82495,P,4.0,637
Cadillac,XT4,2000,235,220,7.6,37490,P,5.0,350
Cadillac,XT5,3600,310,210,6.5,44195,P,5.0,366
Cadillac,XT6,3600,310,210,6.9,48595,P,7.0,366
Cadillac,Lyriq EV,2500,340,190,5.7,58590,E,5.0,440
Cadillac,Escalade V,6200,682,200,4.4,149990,P,7.0,885
Cadillac,Escalade Platinum,6200,420,210,6.8,104595,P,7.0,624
Cadillac,CT5-V Blackwing,6200,668,320,3.4,92000,P,5.0,893
Cadillac,CT4-V Blackwing,3600,472,290,3.9,60495,P,5.0,603
Cadillac,XT4 Sport,2000,235,220,7.4,41390,P,5.0,350
Cadillac,XT5 Sport,3600,310,210,6.5,51095,P,5.0,366
Cadillac,XT6 Sport,3600,310,210,6.9,57095,P,7.0,366
Cadillac,Lyriq Launch Edition,2500,340,190,5.7,59990,E,5.0,440
Cadillac,Lyriq EV Premium,2500,500,210,4.5,64990,E,5.0,620
Cadillac,CT5 Premium Luxury,2000,237,240,6.8,41290,P,5.0,350
Chevrolet,Spark,1400,98,180,10.7,14595,P,5.0,127
Chevrolet,Sonic,1400,138,190,8.5,16720,P,5.0,200
Chevrolet,Malibu,1500,160,210,8,25000,P,5.0,250
Chevrolet,Camaro,2000,275,240,5.4,26400,P,4.0,400
Chevrolet,Corvette,6200,495,312,3,65895,P,2.0,637
Chevrolet,Traverse,3600,310,210,7,35915,P,7.0,360
Chevrolet,Equinox,1500,170,200,8.9,26600,P,5.0,275
Chevrolet,Blazer,3600,308,220,6.6,44000,P,5.0,366
Chevrolet,Tahoe,5300,355,200,7.5,56995,P,7.0,519
Chevrolet,Suburban,5300,355,190,7.6,59900,P,8.0,519
Chevrolet,Colorado,2700,310,190,6.8,30695,P,5.0,583
Chevrolet,Silverado 1500,5300,355,180,7,42795,P,6.0,519
Chevrolet,Silverado 2500HD,6600,401,170,8,41500,P,6.0,629
Chevrolet,Silverado 3500HD,6600,445,160,8.5,45500,D,6.0,1234
Chevrolet,Bolt EV,2500,200,150,6.5,27495,E,5.0,360
Chevrolet,Bolt EUV,2500,200,150,7,28795,E,5.0,360
Chevrolet,Trailblazer,1300,155,200,9.4,23100,P,5.0,236
Chevrolet,Malibu Premier,2000,250,240,5.8,33500,P,5.0,353
Chevrolet,Camaro ZL1,6200,650,318,3.5,67300,P,4.0,881
Chevrolet,Corvette Stingray,6200,495,312,3,65895,P,2.0,637
Chevrolet,Silverado 1500 High Country,5300,355,180,7,61595,P,6.0,519
Chevrolet,Silverado 1500 Trail Boss,5300,355,180,7,55895,P,6.0,519
Chevrolet,Silverado 1500 RST,5300,355,180,7.1,50895,P,6.0,519
Chevrolet,Colorado ZR2,2800,181,160,9.1,48295,D,5.0,500
Chevrolet,Traverse Premier,3600,310,210,7,46600,P,7.0,360
Chevrolet,Equinox Premier,1500,170,200,8.8,33400,P,5.0,275
Chevrolet,Blazer RS,3600,308,220,6.6,48900,P,5.0,366
Chevrolet,Bolt EV 2LT,2500,200,150,6.7,28795,E,5.0,360
Chevrolet,Camaro SS,6200,455,290,4.3,43500,P,4.0,617
Chevrolet,Corvette Grand Sport,6200,460,290,3.9,65900,P,2.0,630
Chevrolet,Traverse RS,3600,310,210,7,43700,P,7.0,360
Chevrolet,Blazer Premier,3600,308,220,6.6,45000,P,5.0,366
Chevrolet,Malibu LT,1500,160,210,8.5,25800,P,5.0,250
Chevrolet,Spark Activ,1400,98,180,11,17595,P,5.0,127
Chevrolet,Trax LT,1200,137,200,9.2,24100,P,5.0,220
Chevrolet,Equinox LT,1500,170,200,8.9,28400,P,5.0,275
Chevrolet,Silverado 3500HD High Country,6600,445,160,8.5,75700,D,6.0,1234
Chevrolet,Colorado WT,2700,310,190,6.9,29200,P,5.0,583
Chevrolet,Suburban High Country,6200,420,200,7,82400,P,8.0,624
Chevrolet,Silverado Custom,4300,285,180,8.5,33900,P,6.0,413
Chevrolet,Spark LS,1400,98,180,10.9,14395,P,5.0,127
Chevrolet,Traverse LT,3600,310,210,7.1,37200,P,7.0,360
Chevrolet,Blazer LT,2500,193,200,9,36100,P,5.0,255
Chevrolet,Malibu Premier,2000,250,240,5.8,34500,P,5.0,353
Chevrolet,Equinox RS,1500,170,200,8.8,31900,P,5.0,275
