Company/Brand,Car Name,Battery Capacity (CC),Horsepower (hp),Top Speed (km/h),Acceleration (time in seconds to reach 100km/h),Price ($),Fuel Type,Seats,Torque (Nm)
ROLLS ROYCE,WRAITH COUPE,6592,624,250,4.4,330000,P,4.0,870
ROLLS ROYCE,DAWN CONVERTIBLE,6592,624,250,4.9,380000,P,4.0,870
ROLLS ROYCE,CULLINAN SUV,6749,563,250,5.2,320000,P,5.0,850
MERCEDES,BENZ S-CLASS S 580,3982,496,250,4.4,116000,P,5.0,700
MERCEDES,BENZ E-CLASS E 63 S,3982,603,250,3.4,104000,P,5.0,850
MERCEDES,BENZ CLA 45 AMG,1991,382,250,4.1,53000,P,5.0,500
MERCEDES,BENZ GLE 63 S,3982,603,250,4.2,113000,P,5.0,850
MERCEDES,BENZ S-CLASS S 500,2996,429,250,4.9,109000,P,5.0,700
MERCEDES,BENZ E-CLASS E 450,2996,362,250,5.2,62000,P,5.0,500
MERCEDES,BENZ CLS 450,2996,362,250,5.2,70000,P,5.0,500
MERCEDES,BENZ GT 53,2996,429,250,4.5,99000,P,5.0,700
MERCEDES,BENZ GLE 450,2996,362,250,5.5,63000,P,5.0,500
MERCEDES,BENZ A-CLASS A 45 S,1991,416,250,3.9,53000,P,5.0,500
MERCEDES,BENZ C-CLASS C 43,2996,402,250,4.7,52000,P,5.0,520
MERCEDES,BENZ E-CLASS E 350,1991,255,250,5.7,49000,P,5.0,500
MERCEDES,BENZ GLE 350,1991,255,250,6.1,53000,P,5.0,500
MERCEDES,BENZ GLC 43,2996,402,250,4.7,54000,P,5.0,520
MERCEDES,BENZ GLA 45,1991,382,250,4.3,48000,P,5.0,500
MERCEDES,BENZ GLC 350,1991,255,250,6.1,46000,P,5.0,500
MERCEDES,BENZ GLE 53,2996,429,250,5.2,71000,P,5.0,620
MERCEDES,BENZ S-CLASS S 350,1991,255,250,6.5,90000,P,5.0,500
MERCEDES,BENZ EQS 53,2500,751,250,3.4,102000,E,5.0,950
MERCEDES,BENZ MAYBACH S 680,5980,630,250,4.7,200000,P,5.0,1000
BMW,M5 CS,4395,627,305,3,142000,P,5.0,750
BMW,M4 GTS,2993,493,305,3.7,133000,P,4.0,600
BMW,M3 COMPETITION,2993,503,285,3.5,76000,P,5.0,650
BMW,M2 CS,2993,444,280,4,83000,P,4.0,550
BMW,X5 M COMPETITION,4935,523,285,4.1,114000,P,5.0,750
BMW,X3 M COMPETITION,2993,503,285,4.1,69000,P,5.0,650
BMW,M8 GRAN COUPE,4395,523,305,3.3,146000,P,5.0,750
BMW,M850i DRIVE COUPE,4935,523,285,3.7,108000,P,4.0,750
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,6592,563,250,4.8,398000,P,4.0,840
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,6749,563,250,5.1,381000,P,5.0,850
ROLLS ROYCE,PHATOM TRANQUILITY,6749,563,250,5.3,475000,P,5.0,900
ROLLS ROYCE,GHOST ZENITH,6749,563,250,4.9,335000,P,5.0,900
ROLLS ROYCE,WRAITH EAGLE VIII,6592,623,250,4.5,349000,P,4.0,800
ROLLS ROYCE,PHATOM ORCHID,6749,563,250,5.3,495000,P,5.0,900
ROLLS ROYCE,GHOST AZURE,6749,563,250,4.9,355000,P,5.0,900
ROLLS ROYCE,WRAITH KRYPTOS,6592,623,250,4.5,369000,P,4.0,800
ROLLS ROYCE,DAWN SILVER BULLET,6592,563,250,4.8,418000,P,4.0,840
ROLLS ROYCE,CULLINAN FUX ORANGE,6749,563,250,5.1,401000,P,5.0,850
ROLLS ROYCE,PHANTOM CELESTIAL,6749,563,250,5.3,515000,P,5.0,900
ROLLS ROYCE,GHOST MYSORE,6749,563,250,4.9,375000,P,5.0,900
ROLLS ROYCE,WRAITH LUMINARY,6592,623,250,4.5,389000,P,4.0,800
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,6592,563,250,4.8,439000,P,4.0,840
ROLLS ROYCE,CULLINAN RED DIAMOND,6749,563,250,5.1,421000,P,5.0,850
AUDI,R8 V10 PLUS,5204,610,330,3.2,194000,P,2.0,560
AUDI,RS7 SPORTBACK,3993,591,305,3.6,114000,P,5.0,800
AUDI,S8,3993,563,305,4.3,101000,P,5.0,800
AUDI,RS6 AVANT,3993,591,305,3.6,109000,P,5.0,800
AUDI,S7 SPORTBACK,3993,563,305,4.3,96000,P,5.0,650
AUDI,A8,2995,335,250,5.7,86000,P,5.0,600
AUDI,S5 COUPE,2995,349,250,4.8,64000,P,4.0,500
AUDI,SQ5,2995,349,250,5.4,62000,P,5.0,500
AUDI,S4 SEDAN,2995,349,250,4.7,59000,P,5.0,500
AUDI,S3 SEDAN,1984,306,250,4.8,52000,P,5.0,400
AUDI,Q7,2995,335,250,6.3,60000,P,7.0,600
AUDI,Q5,1984,248,240,6.3,43000,P,5.0,500
AUDI,A7,2995,335,250,5.7,68000,P,5.0,600
AUDI,A6,2995,335,250,5.7,58000,P,5.0,600
AUDI,A5 COUPE,1984,248,240,6.3,45000,P,4.0,500
AUDI,A4,1984,248,240,6.5,39000,P,5.0,400
AUDI,Q3,1984,248,230,7.3,35000,P,5.0,400
AUDI,E-TRON,2500,402,200,5.5,75000,E,5.0,664
AUDI,E-TRON SPORTBACK,2500,402,200,5.5,78000,E,5.0,664
AUDI,TT COUPE,1984,248,250,5.3,49000,P,2.0,400
BMW,I8 ROADSTER,2500,369,250,4.4,165000,H,2.0,570
BMW,330i,1998,255,250,5.6,45000,P,5.0,400
BMW,M340i XDRIVE,2998,382,250,4.1,57000,P,5.0,500
BMW,430i COUPE,1998,255,250,5.8,48000,P,4.0,400
BMW,M4 COMPETITION,2993,503,290,3.8,81000,P,4.0,650
BMW,530i,1998,248,250,5.9,57000,P,5.0,400
BMW,M550i XDRIVE,4395,523,250,3.6,78000,P,5.0,650
BMW,118i,1499,136,213,8.5,32000,P,5.0,220
BMW,128ti,1998,261,250,6.1,42000,P,5.0,400
BMW,M135i XDRIVE,1998,302,250,4.8,30000,P,5.0,450
BMW,116D,1496,116,200,10.3,30000,D,5.0,280
BMW,120D XDRIVE,1995,190,230,6.9,38000,D,5.0,400
BMW,116i,1499,109,200,10.9,28000,P,5.0,200
BMW,118D,1995,150,216,8.4,34000,D,5.0,380
BMW,120i,1998,178,230,7.1,37000,P,5.0,300
BMW,125i,1998,224,240,6.1,42000,P,5.0,400
BMW,114D,1496,95,185,12.2,27000,D,5.0,270
BMW,114i,1598,102,195,11.2,26000,P,5.0,200
BMW,125D,1995,224,240,6.3,44000,D,5.0,400
BMW,118i XDRIVE,1499,136,211,8.9,34000,P,5.0,250
BMW,116D EFFICIENTDYNAMICS,1496,116,200,10.9,30000,D,5.0,270
BMW,118i SPORTLINE,1499,136,213,8.5,35000,P,5.0,250
BMW,118i M SPORT,1499,136,213,8.5,37000,P,5.0,250
BMW,120i M SPORT,1998,178,230,7.1,39000,P,5.0,300
BMW,116i EFFICIENTDYNAMICS,1598,109,195,10.9,29000,P,5.0,200
BMW,116D ADVANTAGE,1496,116,200,10.5,31000,D,5.0,270
BMW,120D EFFICIENTDYNAMICS,1995,163,225,7.7,39000,D,5.0,400
BMW,118i SHADOW LINE,1499,136,213,8.5,36000,P,5.0,250
BMW,118D SPORT LINE,1995,150,216,8.4,36000,D,5.0,380
BMW,120i XDRIVE,1998,178,230,7.2,40000,P,5.0,300
BMW,114D SPORT LINE,1496,95,185,12.2,28000,D,5.0,270
BMW,118i URBAN LINE,1499,136,213,8.5,35000,P,5.0,250
VOLVO,XC90,1969,247,200,6.5,60000,P,7.0,400
VOLVO,XC60,1969,247,220,6.4,55000,P,5.0,400
VOLVO,S90,1969,295,250,5.9,60000,P,5.0,400
KIA,SPORTAGE LX,2480,187,200,8,27000,P,5.0,250
KIA,SPORTAGE EX,2480,187,200,8,30000,P,5.0,250
